"ENTREZID","baseMean","log2FoldChange","lfcSE","pvalue","padj","SYMBOL","GENENAME","DEG_status","gene_label"
"883",143.164348751567,0.620544122721422,0.258934406742031,0.000635275516397454,0.0999989985040464,"KYAT1","kynurenine aminotransferase 1","Not_significant","KYAT1"
"92196",145.647950991865,-0.0083932477257808,0.0661989003217206,0.00062994613782568,0.0999989985040464,"DAPL1","death associated protein like 1","Not_significant","DAPL1"
"197358",458.488691603774,1.33842376103445,0.547632413320151,0.000660831794525284,0.101610755453435,"NLRC3","NLR family CARD domain containing 3","Not_significant","NLRC3"
"8516",167.610644026412,1.73114759079575,0.697643692676976,0.000657678458665824,0.101610755453435,"ITGA8","integrin subunit alpha 8","Not_significant","ITGA8"
"22806",1311.97039691072,1.88386443539579,0.761171925797064,0.000701300078426526,0.106543762376777,"IKZF3","IKAROS family zinc finger 3","Not_significant","IKZF3"
"973",1079.93532475941,2.52943636548738,1.00116173963221,0.000706112268461762,0.106543762376777,"CD79A","CD79a molecule","Not_significant","CD79A"
"1776",736.473881536914,2.36169721133626,0.947721566580249,0.000737788082953336,0.107760651290199,"DNASE1L3","deoxyribonuclease 1L3","Not_significant","DNASE1L3"
"284837",129.306519968759,-0.0218094720138855,0.0708879796801869,0.0007271237077105,0.107760651290199,"AATBC","apoptosis associated transcript in bladder cancer","Not_significant","AATBC"
"401014",570.016380482369,-0.0143109002889721,0.0676793008002564,0.000730853703580063,0.107760651290199,"TEX41","testis expressed 41","Not_significant","TEX41"
"4050",693.360867104884,2.12973074330829,0.861684883361385,0.000740875335596911,0.107760651290199,"LTB","lymphotoxin beta","Not_significant","LTB"
"5287",820.224205521226,0.867647195222369,0.370206707621467,0.000748668914837546,0.107921960982609,"PIK3C2B","phosphatidylinositol-4-phosphate 3-kinase catalytic subunit type 2 beta","Not_significant","PIK3C2B"
"11223",94.5366585216542,1.84886291094846,0.762572816131294,0.000767483552194373,0.10864507861893,"MST1L","macrophage stimulating 1 like (pseudogene)","Not_significant","MST1L"
"771",791.541302895666,-0.0160161259703218,0.0682519737365087,0.000773873276009718,0.10864507861893,"CA12","carbonic anhydrase 12","Not_significant","CA12"
"9806",1207.58366236399,1.46576714743717,0.61310200913683,0.00076782721745929,0.10864507861893,"SPOCK2","SPARC (osteonectin), cwcv and kazal like domains proteoglycan 2","Not_significant","SPOCK2"
"1002",146.014809806757,-0.0120558517522731,0.0670198823476142,0.000799869852413022,0.10872464342033,"CDH4","cadherin 4","Not_significant","CDH4"
"10455",1424.97303402042,-0.0101104275958119,0.0622925987036943,0.000815868003165337,0.10872464342033,"ECI2","enoyl-CoA delta isomerase 2","Not_significant","ECI2"
"11184",515.419562434592,1.25032071173177,0.535744410024121,0.000848516882685756,0.10872464342033,"MAP4K1","mitogen-activated protein kinase kinase kinase kinase 1","Not_significant","MAP4K1"
"145447",117.93997522744,-0.0172823418984599,0.0687214619943165,0.000790204306348352,0.10872464342033,"ABHD12B","abhydrolase domain containing 12B","Not_significant","ABHD12B"
"151888",181.413974707445,2.09180733125832,0.861657073788443,0.000815632568727021,0.10872464342033,"BTLA","B and T lymphocyte associated","Not_significant","BTLA"
"162461",51.7957869705887,0.000469996191027636,0.0652309198788467,0.000847067234157666,0.10872464342033,"TMEM92","transmembrane protein 92","Not_significant","TMEM92"
"2941",1754.86822740888,-0.0378120954627093,0.0821789605329305,0.000786132121787013,0.10872464342033,"GSTA4","glutathione S-transferase alpha 4","Not_significant","GSTA4"
"388512",28.3145819986171,4.42330279219922,0.869083725538392,0.000827000219857812,0.10872464342033,"CLEC17A","C-type lectin domain containing 17A","Not_significant","CLEC17A"
"60468",416.97175833999,1.29271302813668,0.550029070559755,0.000817461054793096,0.10872464342033,"BACH2","BACH transcriptional regulator 2","Not_significant","BACH2"
"84636",159.515869018486,2.26863076988775,0.932852816120679,0.000837080608859507,0.10872464342033,"GPR174","G protein-coupled receptor 174","Not_significant","GPR174"
"9914",37.9205461996534,-0.0198444994836151,0.0697855357117556,0.000831334275210291,0.10872464342033,"ATP2C2","ATPase secretory pathway Ca2+ transporting 2","Not_significant","ATP2C2"
"1756",1215.5125512358,1.03845433708355,0.451384093913277,0.000859778559789434,0.109300195651972,"DMD","dystrophin","Not_significant","DMD"
"100534611",51.1251045882751,-0.00932271744518319,0.0663766784217631,0.000898765836543325,0.111958358442168,"TM4SF19-DYNLT2B","TM4SF19-DYNLT2B readthrough (NMD candidate)","Not_significant","TM4SF19-DYNLT2B"
