"ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalue","rank","leading_edge","core_enrichment"
"hsa05020","Prion disease",236,-0.301759102224927,-1.46925912474869,0.00188545375827232,0.0104472683655089,0.00774353743690789,4996,"tags=42%, list=30%, signal=30%","5595/1388/1327/4708/4711/5692/468/4697/90993/148327/54539/4712/1350/1958/5706/1346/5701/1349/3831/5687/3304/10213/5682/4694/1432/29796/1347/4725/515/5296/9861/7419/4714/7417/4717/522/51807/5700/1345/6261/6263/9586/55967/2903/347733/4698/1351/9167/7386/4723/10488/4695/1460/5715/513/1537/4726/3303/1337/4728/572/4716/4713/4724/4709/3710/5714/733/1329/10975/7280/5291/1340/51079/4715/4696/4705/27089/7381/374291/4701/4707/857/126328/581/539/2932/89953/7979/5694/4706/56901/774/4731/3310/6262/147700/10382"
"hsa04217","Necroptosis",121,0.328523066065502,1.56459680787849,0.00229842376038788,0.0125301166292114,0.00928734898085427,3145,"tags=31%, list=19%, signal=25%","90865/3718/7128/6775/3455/3716/330/6774/10059/1540/91782/7124/6777/8743/5837/142/9131/816/8797/114548/1536/356/818/6778/6772/81030/3458/841/5601/8795/8837/7188/3459/9825/7186/7132/5321"
"hsa04151","PI3K-Akt signaling pathway",303,0.260585284113833,1.39458956951949,0.00235893089951188,0.0126558514926193,0.00938054392788351,2490,"tags=23%, list=15%, signal=20%","5649/8516/8115/930/5519/23035/3569/2324/3718/9223/3672/3695/894/3455/5934/80310/3566/3561/2264/3560/3716/3570/5294/3575/3845/3574/3559/4790/1902/672/3643/7010/1284/5293/2322/3082/2793/8517/7450/3791/2149/1285/284/3696/1282/4193/1942/3676/1027/10018/4602/2475/7148/5295/2998/6850/4170/2335/356/1436/6198/118788/1299/7424/63923/57121/2885/3908/3371/200186/9180"
"hsa00280","Valine, leucine and isoleucine degradation",45,0.430281181750196,1.71649081556041,0.00262900617404492,0.0137547825790363,0.0101950739763645,1765,"tags=31%, list=11%, signal=28%","34/54511/217/64087/259307/39/594/56922/3155/10449/316/3712/30/1892"
"hsa05167","Kaposi sarcoma-associated herpesvirus infection",170,0.294432170552261,1.47474311674125,0.00264515049596852,0.0137547825790363,0.0101950739763645,4893,"tags=45%, list=29%, signal=32%","3569/5336/1233/6932/3455/3708/3716/5294/3845/6774/4790/2033/4775/5293/2793/8517/4067/5530/29110/1232/7187/9641/2475/5295/6850/9261/1870/4277/3091/4792/1234/6772/1237/841/5601/1147/5604/3459/7186/7132/5970/3133/10681/836/131450/3383/3717/2786/3572/57580/3107/5534/23533/3454/5608/5532/643246/7422/7098/942/440738/8678/1827/3709/1871/5155/5600/5599/718/842/5290/3055/3576/3106/4772/10000"
"hsa04080","Neuroactive ligand-receptor interaction",194,0.290534685216701,1.48584713338804,0.0027221930441796,0.0139409280141319,0.0103330453670613,2489,"tags=27%, list=15%, signal=23%","7425/5026/1901/27334/116443/1139/9002/8698/1903/147/1134/2892/53829/2151/9934/1269/10800/2925/80763/1902/2908/4886/5368/6915/79924/623/2918/2149/148/5739/90226/1909/4922/187/116/51738/624/257313/7442/11054/10857/10316/57105/2562/5732/8862/2901/7068/10203/2859/3001/4889"
"hsa04260","Cardiac muscle contraction",65,-0.414590082953853,-1.63088213521767,0.00296401767628007,0.014952805590786,0.0110830511697511,5077,"tags=52%, list=30%, signal=37%","7169/27092/1327/1350/1346/59283/1349/782/7171/29796/1347/1345/1351/9167/6548/7386/784/1537/1337/4635/482/1329/10975/1340/27089/6543/7381/70/4634/487/6262/9254/483/7134"
"hsa05202","Transcriptional misregulation in cancer",163,0.301616355831786,1.50136525870199,0.00348828345986736,0.0173388207269878,0.0128515706416166,2693,"tags=28%, list=16%, signal=24%","5079/3569/26039/3695/894/25942/2892/85414/64919/3560/4299/330/2313/5218/3087/4790/4086/6495/2322/51804/5966/64332/2120/958/4066/4193/6929/8842/1027/221037/7048/904/2005/7403/1025/2308/1436/604/2078/4297/861/466/4613/3479/4208/3065"
"hsa05144","Malaria",45,0.418053902698445,1.66771338098553,0.00390795321364929,0.0191433070465719,0.0141890597230897,3675,"tags=47%, list=22%, signal=37%","3569/7412/959/1378/3683/7124/6403/3082/958/54106/5175/3592/1379/3458/948/4035/7058/3383/3689/6401/3606"
"hsa04670","Leukocyte transendothelial migration",97,0.333882580288054,1.51322781717074,0.00418560897120272,0.0198109835889942,0.0146839429902853,2317,"tags=28%, list=14%, signal=24%","399/5336/2185/83593/3702/7412/3683/6494/7294/23562/1003/5880/5908/653361/49861/5293/7409/50848/3676/5579/1536/10686/5295/5175/90952/7430/7122"
"hsa04020","Calcium signaling pathway",205,0.276141784392931,1.41767957819065,0.00418786926797492,0.0198109835889942,0.0146839429902853,2192,"tags=23%, list=13%, signal=20%","5026/489/5336/2324/116443/255231/1139/5255/5567/147/2185/952/80310/2264/3708/10800/6786/80228/2925/4775/6915/3082/623/3791/5137/2149/5530/148/23236/3706/1909/4843/219931/816/51196/6546/814/57118/5579/5256/7942/818/624/3270/57105/2778/7424"
"hsa04010","MAPK signaling pathway",269,0.26304476405127,1.39992050245968,0.00422009117872066,0.0198109835889942,0.0146839429902853,4075,"tags=34%, list=24%, signal=26%","4216/11184/2324/5567/80310/2264/4791/10125/3845/5880/5778/5871/5971/4790/5908/2872/23118/6789/7124/3643/7010/9020/4775/2322/3082/8517/1399/6885/3791/2002/5530/284/4217/1942/7048/3556/5579/11221/356/2005/9261/6196/1436/9252/6195/5922/7424/2885/9693/5062/9479/5495/10235/5601/3479/5924/4208/1147/5604/5058/51776/7186/2768/7132/5970/6655/5321/2323/2122/836/1616/4803/1844/4902/5156/1847/80824/2316/4915/5534/22808/2260/6197/51135/1852/775/5608/5532/2321/1326/7422"
"hsa04723","Retrograde endocannabinoid signaling",118,-0.342975749101356,-1.51056307870791,0.00452844649092468,0.020967327588117,0.0155410276112484,5167,"tags=47%, list=31%, signal=33%","5603/2773/5595/4708/4711/4697/54539/4712/222236/2567/2788/112/59345/2569/4694/1432/1268/4725/2893/4714/4717/3762/55967/747/4698/4723/4695/5743/5332/4726/4728/4716/4713/4724/4709/3710/2787/55970/2785/51079/4715/4696/4705/374291/2891/4701/4707/126328/5578/4706/56901/774/4731/2784/2890/2568"
"hsa04066","HIF-1 signaling pathway",101,0.331209003739639,1.51702601991321,0.00476548952038293,0.0217666953768842,0.01613352070912,2681,"tags=31%, list=16%, signal=26%","3569/5336/3570/6774/4790/2872/405/2033/3643/7010/5293/7037/284/7076/229/4843/816/1027/230/2475/5579/1536/5295/818/6198/3091/2034/3458/3479/3945/5604"
"hsa05416","Viral myocarditis",63,0.372101960370695,1.56472491502234,0.0058142612541866,0.0260904443556358,0.0193382926086618,4322,"tags=51%, list=26%, signal=38%","1756/3112/3111/940/959/3683/5880/958/3118/3113/5551/27/2534/3908/1981/3122/8672/841/3119/941/3133/836/3383/3689/3127/3107/3109/1982/942/3115/3108/3117"
"hsa04070","Phosphatidylinositol signaling system",90,0.342747564705901,1.5293252120932,0.00586649044682935,0.0260904443556358,0.0193382926086618,1671,"tags=20%, list=10%, signal=18%","8526/5287/8527/5336/4534/3635/3708/9110/1606/8776/5293/23236/3706/51196/3631/8525/5579/5295"
"hsa04961","Endocrine and other factor-regulated calcium reabsorption",42,-0.430359101208632,-1.5576074870909,0.010642616349669,0.0467169393011446,0.0346266943434208,2226,"tags=36%, list=13%, signal=31%","8766/5332/491/482/1173/6543/160/3816/1759/1212/5578/1211/1175/5745/483"
"hsa05133","Pertussis",68,0.362334447768973,1.52537457382903,0.0114438631660503,0.0495900737195513,0.036756267658839,4930,"tags=50%, list=29%, signal=35%","3569/710/715/3394/3659/725/4790/10392/7124/4843/114548/51561/717/3592/5601/6374/714/5970/713/836/1073/3689/51135/2770/2771/5600/712/5599/718/929/3552/3678/3576/3688"
